ID,Vietnamese_Text,English_Text,Vietnamese_Sound
chat_housing_0_t3_you1,Tôi bận rồi,I'm busy,
chat_housing_1_opener,"Chào bạn, đây là chìa khoá phòng của bạn","Hi, here's your room key",
chat_housing_1_t0_them,Wifi và tiền điện nước tính riêng nhé,Wifi and utilities are billed separately,
chat_housing_1_t0_you0,"Cảm ơn cô, phòng có gì cần lưu ý không ạ?","Thank you, is there anything I should know about the room?",
chat_housing_1_t0_you1,Chìa khoá đâu nữa không?,Are there more keys?,
chat_housing_1_t0_you2,Tôi vào luôn được chưa?,Can I go in now?,
chat_housing_1_t1_them,"Khoảng 300 nghìn tiền điện nước, wifi 100 nghìn","About 300k for utilities, 100k for wifi",
chat_housing_1_t1_you0,"Dạ, khoảng bao nhiêu một tháng vậy cô?",About how much per month?,
chat_housing_1_t1_you1,Mắc quá,Too expensive,
chat_housing_1_t2_them,Có gì cần thì cứ nhắn cho cô nhé,Message me if you need anything,
chat_housing_1_t2_you0,"Dạ được, con hiểu rồi ạ","Got it, understood",
chat_housing_1_t2_you1,Sao mắc vậy cô,Why so expensive,
chat_housing_1_t2_you2,Con trả gộp vào tiền nhà được không,Can I just pay it with rent?,
chat_housing_1_t3_them,"Không có gì, chúc con ở vui vẻ nhé!","No problem, enjoy your new place!",
chat_housing_1_t3_you1,Chắc con không cần đâu,I probably won't need anything,
chat_housing_1_t3_you2,Số điện thoại cô là gì?,What's your phone number?,
chat_outdoors_0_opener,Mọi người tập trung ở bãi đậu xe lúc 7 giờ sáng nhé,Everyone gather at the parking lot at 7am,
chat_outdoors_0_t0_them,"Tốt, nhớ mang theo lều và túi ngủ nhé","Great, remember to bring a tent and sleeping bag",
chat_outdoors_0_t0_you0,"Dạ, tôi sẽ có mặt đúng giờ",I'll be there on time,
chat_outdoors_0_t0_you1,Sớm vậy?,That early?,
chat_outdoors_0_t0_you2,Tôi chắc không đi kịp đâu,I probably won't make it in time,
chat_outdoors_0_t1_them,"Mang thêm đèn pin và áo ấm nhé, trên đó lạnh lắm","Bring a flashlight and warm clothes too, it gets cold up there",
chat_outdoors_0_t1_you0,"Tôi có lều rồi, cần mang gì thêm không?","I have a tent, anything else I should bring?",
chat_outdoors_0_t1_you1,Tôi không có lều,I don't have a tent,
chat_outdoors_0_t1_you2,Chắc không cần mang gì,Probably don't need to bring anything,
chat_outdoors_0_t2_them,"Tốt, hẹn gặp mọi người sáng mai nhé!","Great, see everyone tomorrow morning!",
chat_outdoors_0_t2_you1,Lạnh vậy chắc tôi không đi,"That cold, I probably won't go",
chat_outdoors_0_t2_you2,"Tôi quên đồ hoài, chắc lại quên nữa","I always forget stuff, I'll probably forget again",
chat_outdoors_0_t3_them,"Không có gì, chuyến này sẽ vui lắm đó!","No problem, this trip is going to be great!",
chat_outdoors_0_t3_you0,"Dạ, cảm ơn anh/chị đã tổ chức chuyến đi này",Thank you for organizing this trip,
chat_outdoors_0_t3_you1,Chuyến đi này chắc mệt lắm,This trip is probably going to be exhausting,
chat_outdoors_0_t3_you2,Hy vọng không có gì trục trặc,Hopefully nothing goes wrong,
chat_outdoors_1_opener,Lại đây ngồi cạnh lửa cho ấm nè,Come sit by the fire to stay warm,
chat_outdoors_1_t0_them,"Ừ, đợi lát nữa nướng khoai lang nhé","Yeah, in a bit we'll grill some sweet potatoes",
chat_outdoors_1_t0_you0,"Cảm ơn, ở đây đẹp quá","Thanks, it's beautiful here",
chat_outdoors_1_t0_you1,Tôi không lạnh đâu,I'm not cold,
chat_outdoors_1_t0_you2,Lửa này nhỏ quá,This fire is too small,
chat_outdoors_1_t1_them,Vậy để tôi chỉ bạn cách nướng nhé,Then let me show you how,
chat_outdoors_1_t1_you0,"Nghe hay đó, tôi chưa từng nướng khoai lang trên lửa","Sounds great, I've never grilled sweet potatoes over a fire",
chat_outdoors_1_t1_you1,Khoai lang chán lắm,Sweet potatoes are boring,
chat_outdoors_1_t1_you2,Tôi không ăn khoai lang,I don't eat sweet potatoes,
chat_outdoors_1_t2_them,"Thường xuyên lắm, mình thích thiên nhiên","Pretty often, I love nature",
chat_outdoors_1_t2_you0,"Cảm ơn, bạn hay đi cắm trại không?","Thanks, do you camp often?",
chat_outdoors_1_t2_you1,Tôi tự làm được,I can do it myself,
chat_outdoors_1_t2_you2,Cắm trại chán lắm,Camping is boring,
chat_outdoors_1_t3_them,"Có chứ, lần sau dẫn bạn đi chỗ đẹp hơn nữa!","Definitely, next time I'll take you somewhere even better!",
chat_outdoors_1_t3_you0,Vậy chắc bạn biết nhiều chỗ hay ha,You must know a lot of great spots then,
chat_outdoors_1_t3_you1,Chắc bạn không biết nhiều đâu,You probably don't know much,
chat_outdoors_1_t3_you2,Tôi thích ở nhà hơn,I prefer staying home,
chat_outdoors_2_opener,"Đường phía trước gồ ghề lắm, cẩn thận nhé","The road ahead is really rough, be careful",
chat_outdoors_2_t0_them,"Tốt, giữ khoảng cách với xe trước nhé","Good, keep some distance from the car ahead",
chat_outdoors_2_t0_you0,"Dạ, tôi sẽ đi chậm lại","Got it, I'll slow down",
chat_outdoors_2_t0_you1,"Tôi quen rồi, không sao đâu","I'm used to it, it's fine",
chat_outdoors_2_t0_you2,Đường nào cũng vậy thôi,All roads are like this,
chat_outdoors_2_t1_them,"Chuẩn rồi, sắp tới đoạn lội suối đó","Perfect, we're coming up on a river crossing",
chat_outdoors_2_t1_you0,"Được, tôi sẽ giữ khoảng cách an toàn","Got it, I'll keep a safe distance",
chat_outdoors_2_t1_you1,Khoảng cách bao nhiêu cũng được,Any distance is fine,
chat_outdoors_2_t1_you2,Tôi thích bám sát xe trước,I like following closely,
chat_outdoors_2_t2_them,"Không sâu lắm, đi số thấp là qua được","Not too deep, low gear will get you through",
chat_outdoors_2_t2_you0,Đoạn lội suối sâu không vậy?,Is the river crossing deep?,
chat_outdoors_2_t2_you2,Tôi không lội suối đâu,I'm not crossing the river,
chat_outdoors_2_t3_them,"Được, tôi theo sau, có gì báo liền nhé!","Alright, I'm right behind you, shout if anything comes up!",
chat_outdoors_2_t3_you0,"Dạ, cảm ơn đã hướng dẫn, tôi qua đây","Thanks for the guidance, heading through now",
chat_outdoors_2_t3_you1,Tôi không tin lắm,I don't really trust that,
chat_outdoors_2_t3_you2,Để tôi đi trước xem sao,Let me go first and see,
chat_outdoors_3_opener,"Chào bạn, nhóm bạn có mấy người vậy?","Hi, how many people are in your group?",
chat_outdoors_3_t0_them,"Được, nhớ đăng ký trước khi cắm trại nhé","Okay, remember to register before camping",
chat_outdoors_3_t0_you0,"Dạ, nhóm tôi có 6 người",My group has 6 people,
chat_outdoors_3_t0_you2,Nhiều lắm,A lot,
chat_outdoors_3_t1_them,Ở trạm kiểm lâm phía trước đó,At the ranger station up ahead,
chat_outdoors_3_t1_you0,Đăng ký ở đâu vậy anh?,Where do I register?,
chat_outdoors_3_t1_you1,Tôi không muốn đăng ký,I don't want to register,
chat_outdoors_3_t1_you2,Chắc không cần đâu,Probably not necessary,
chat_outdoors_3_t2_them,Khu vực gần suối là an toàn nhất,The area near the stream is safest,
chat_outdoors_3_t2_you0,Khu vực nào an toàn để cắm trại vậy?,Which area is safe to camp in?,
chat_outdoors_3_t2_you1,Chỗ nào cũng được,Anywhere is fine,
chat_outdoors_3_t2_you2,Tôi tự chọn chỗ được,I'll just pick a spot myself,
chat_outdoors_3_t3_them,"Được, chúc mọi người cắm trại vui vẻ!","Great, have a fun camping trip!",
chat_outdoors_3_t3_you0,"Cảm ơn anh, chúng tôi sẽ cắm trại ở đó","Thanks, we'll camp there",
chat_outdoors_3_t3_you2,Tôi thích chỗ khác hơn,I prefer a different spot,
chat_outdoors_4_opener,"Đây là lần đầu mình đi cắm trại, hơi lo","This is my first time camping, kind of nervous",
chat_outdoors_4_t0_them,"Cảm ơn bạn nhiều, mình yên tâm hơn rồi","Thanks so much, I feel more at ease now",
chat_outdoors_4_t0_you0,"Đừng lo, mình sẽ chỉ bạn hết","Don't worry, I'll show you everything",
chat_outdoors_4_t0_you1,Cắm trại khó lắm đó,Camping is really hard,
chat_outdoors_4_t0_you2,Tự học đi,Figure it out yourself,
chat_outdoors_4_t1_them,"Ok, mình theo bạn nhé","Okay, I'll follow your lead",
chat_outdoors_4_t1_you0,Đầu tiên mình dựng lều trước nhé,First let's set up the tent,
chat_outdoors_4_t1_you1,Làm gì cũng được,Do whatever,
chat_outdoors_4_t1_you2,Để mình làm hết cho,I'll just do everything for you,
chat_outdoors_4_t2_them,"Được, mình thử xem sao","Okay, let me give it a try",
chat_outdoors_4_t2_you0,"Bạn cầm cái này, mình cầm cái kia nhé","You hold this, I'll hold that",
chat_outdoors_4_t2_you1,Đứng đó nhìn thôi,Just stand there and watch,
chat_outdoors_4_t2_you2,"Việc này khó lắm, để mình làm","This is too hard, let me do it",
chat_outdoors_4_t3_them,"Cảm ơn bạn, mình thấy vui lắm!","Thank you, I had a lot of fun!",
chat_outdoors_4_t3_you0,Bạn làm tốt lắm cho lần đầu đó!,You did great for a first time!,
chat_outdoors_4_t3_you1,Cũng tạm được,It's okay I guess,
chat_outdoors_4_t3_you2,Lần sau làm tốt hơn nhé,Do better next time,
chat_travel_0_opener,Bạn đang đứng ở đâu vậy?,Where are you standing?,
chat_travel_0_t0_them,"Ok, tôi tới trong 2 phút","Ok, I'll be there in 2 minutes",
chat_travel_0_t0_you0,Tôi đứng ở cổng chính,I'm at the main gate,
chat_travel_0_t0_you1,Tôi không biết ở đâu,I don't know where I am,
chat_travel_0_t0_you2,Xe bạn màu gì?,What color is your car?,
chat_travel_0_t1_them,Tới nơi rồi bạn nhé!,I've arrived!,
chat_travel_0_t1_you0,"Cảm ơn, tôi đợi ở đây","Thanks, I'll wait here",
chat_travel_0_t1_you1,Tôi huỷ chuyến,I'm cancelling,
chat_travel_0_t1_you2,Bạn tới chưa?,Are you here yet?,
chat_travel_0_t2_them,"Đúng rồi, lên xe đi bạn","That's right, hop in",
chat_travel_0_t2_you0,"Đây rồi, xe màu trắng phải không?","Here you are, white car right?",
chat_travel_0_t2_you1,Xe nào đây?,Which car is this?,
chat_travel_0_t2_you2,Tôi không thấy xe bạn,I don't see your car,
chat_travel_0_t3_them,"Được, khoảng 30 phút nhé","Okay, about 30 minutes",
chat_travel_0_t3_you0,"Cho tôi đến sân bay, cảm ơn anh","Take me to the airport, thank you",
chat_travel_0_t3_you1,Tuỳ anh chở đi đâu cũng được,Take me wherever you want,
chat_travel_0_t3_you2,Tôi quên địa chỉ rồi,I forgot the address,
chat_travel_1_opener,"Túi này đẹp lắm, 800 nghìn thôi!","This bag is lovely, only 800k!",
chat_travel_1_t0_them,"Thôi được, 250 nghìn nhé","Alright, 250k then",
chat_travel_1_t0_you0,"Đắt quá, bớt được không?","Too expensive, can you lower it?",
chat_travel_1_t0_you1,"Được rồi, tôi mua ngay","Ok, I'll buy it now",
chat_travel_1_t0_you2,Tôi mua ở chỗ khác vậy,I'll buy elsewhere then,
chat_travel_1_t1_them,"Tổng cộng 250,000 đồng nhé bạn.","Total is 250,000 dong.",
chat_travel_1_t1_you0,"Được rồi, cảm ơn!","Deal, thank you!",
chat_travel_1_t1_you1,Vẫn đắt quá,Still too expensive,
chat_travel_1_t1_you2,Bớt thêm chút nữa đi,Lower it a bit more,
chat_travel_1_t2_them,"Dạ, gửi lại bạn 50,000 nhé.","Sure, here's your 50,000 change.",
chat_travel_1_t2_you0,"Đây 300,000. Thối lại cho tôi nhé.","Here's 300,000. Please give me the change.",
chat_travel_1_t2_you1,"Đây 300,000.","Here's 300,000.",
chat_travel_1_t2_you2,Có tờ nhỏ hơn không?,Do you have smaller bills?,
chat_travel_1_t3_them,"Cảm ơn em, lần sau ghé nữa nhé!","Thank you, come back again!",
chat_travel_1_t3_you0,"Cảm ơn chị, chúc buôn bán tốt nhé","Thank you, wishing you good business",
chat_travel_1_t3_you1,Thôi tôi đi đây,I'm off then,
chat_travel_1_t3_you2,Lần sau tôi mua nữa,I'll buy again next time,
chat_travel_2_opener,Anh/chị đã đặt phòng chưa?,Have you booked a room?,
chat_travel_2_t0_them,Cho tôi xem hộ chiếu nhé,May I see your passport?,
chat_travel_2_t0_you0,"Dạ rồi, tên tôi là...","Yes, my name is...",
chat_travel_2_t0_you1,"Chưa, tôi mới tới","No, I just arrived",
chat_travel_2_t1_them,"Cảm ơn, phòng của anh/chị ở tầng 3","Thank you, your room is on the 3rd floor",
chat_travel_2_t1_you0,Đây ạ,Here you go,
chat_travel_2_t1_you1,Tôi không mang theo,I don't have it with me,
chat_travel_2_t1_you2,Chụp ảnh được không?,Can I take a photo of it?,
chat_travel_2_t2_them,"Dạ, 12 giờ trưa ạ",Noon,
chat_travel_2_t2_you0,Giờ trả phòng là mấy giờ vậy?,What time is checkout?,
chat_travel_2_t2_you1,Tôi không quan tâm giờ trả phòng,I don't care about checkout time,
chat_travel_2_t2_you2,Tôi ở luôn không trả phòng,"I'll just stay forever, no checkout",
chat_travel_2_t3_them,"Dạ có, từ 6 đến 9 giờ sáng","Yes, 6 to 9am",
chat_travel_2_t3_you0,Có bữa sáng miễn phí không?,Is breakfast included?,
chat_travel_2_t3_you1,Chắc là có,Probably,
chat_travel_2_t3_you2,Tôi không ăn sáng bao giờ,I never eat breakfast,
chat_travel_3_t0_them,Xe chạy lúc 8 giờ tối nhé,The bus leaves at 8pm,
chat_travel_3_t0_you0,Cho tôi một vé đi Đà Nẵng,One ticket to Da Nang please,
chat_travel_3_t0_you1,Tôi chưa biết,I don't know yet,
chat_travel_3_t0_you2,Xe nào cũng được,Any bus is fine,
chat_travel_3_t1_them,350 nghìn đồng nhé,"350,000 dong",
chat_travel_3_t1_you0,Vé bao nhiêu tiền vậy?,How much is the ticket?,
chat_travel_3_t1_you2,Trả bằng gì cũng được,Any payment method is fine,
chat_travel_3_t2_them,"Dạ có wifi, nhà vệ sinh thì xe dừng dọc đường","Yes wifi, and the bus stops along the way for restroom breaks",
chat_travel_3_t2_you0,Xe có wifi và nhà vệ sinh không?,Does the bus have wifi and a bathroom?,
chat_travel_3_t3_them,"Dạ, đây vé của anh/chị, chúc đi vui vẻ!","Here's your ticket, have a good trip!",
chat_travel_3_t3_you0,"Vậy cho tôi một vé nhé, đây tiền","Okay, one ticket then, here's the money",
chat_travel_3_t3_you2,Có giảm giá không?,Any discount?,
chat_travel_4_opener,"Chào mọi người, mình là hướng dẫn viên hôm nay","Hi everyone, I'll be your guide today",
chat_travel_4_t0_them,"Khoảng 3 tiếng, mình sẽ ghé 4 điểm","About 3 hours, we'll stop at 4 places",
chat_travel_4_t0_you0,"Chào anh/chị, chuyến đi hôm nay bao lâu vậy?","Hello, how long is today's tour?",
chat_travel_4_t0_you1,Tôi không cần hướng dẫn,I don't need a guide,
chat_travel_4_t0_you2,Đi đâu vậy?,Where are we going?,
chat_travel_4_t1_them,Đầu tiên là chợ Bến Thành nhé,First is Ben Thanh Market,
chat_travel_4_t1_you0,Điểm đầu tiên là gì vậy ạ?,What's the first stop?,
chat_travel_4_t1_you1,Tôi không quan tâm lịch trình,I don't care about the itinerary,
chat_travel_4_t1_you2,Chắc chán lắm,Probably boring,
chat_travel_4_t2_them,Đây là chợ lâu đời nhất Sài Gòn đó,It's the oldest market in Saigon,
chat_travel_4_t2_you0,Ở đó có gì đặc biệt vậy anh/chị?,What's special there?,
chat_travel_4_t2_you1,Tôi biết chỗ đó rồi,I already know that place,
chat_travel_4_t2_you2,Chợ nào cũng giống nhau,All markets are the same,
chat_travel_4_t3_them,"Dạ, mình bắt đầu thôi nào!","Alright, let's get started!",
chat_travel_4_t3_you0,"Cảm ơn anh/chị, mong chờ chuyến đi này","Thank you, looking forward to this trip",
chat_travel_4_t3_you1,"Nhanh lên, tôi vội","Hurry up, I'm in a rush",
chat_travel_4_t3_you2,Hy vọng không chán,Hope it's not boring,
chat_travel_5_opener,Cho tôi xem hộ chiếu của anh/chị,May I see your passport?,
chat_travel_5_t0_them,Mục đích chuyến đi của anh/chị là gì?,What's the purpose of your trip?,
chat_travel_5_t0_you0,"Dạ, đây ạ",Here you go,
chat_travel_5_t0_you2,Để tôi tìm đã,Let me find it,
chat_travel_5_t1_them,Anh/chị ở lại bao lâu?,How long will you be staying?,
chat_travel_5_t1_you0,Tôi đi du lịch,I'm traveling for tourism,
chat_travel_5_t1_you1,Không phải việc của bạn,Not your business,
chat_travel_5_t2_them,"Được rồi, chúc anh/chị có chuyến đi vui vẻ","Alright, enjoy your trip",
chat_travel_5_t2_you0,Khoảng hai tuần ạ,About two weeks,
chat_travel_5_t2_you1,Chắc không biết nữa,Not sure anymore,
chat_travel_5_t2_you2,Ở luôn không về,"Staying forever, not going back",
chat_travel_5_t3_them,"Dạ, mời anh/chị đi tiếp",Please go ahead,
chat_travel_5_t3_you0,Cảm ơn anh/chị,Thank you,
chat_travel_5_t3_you2,Lâu vậy,That took a while,
chat_travel_6_opener,Anh/chị muốn thuê xe loại nào?,What kind of bike would you like to rent?,
chat_travel_6_t0_them,"Được, thuê mấy ngày vậy?","Sure, how many days?",
chat_travel_6_t0_you0,Cho tôi thuê một chiếc xe số tự động,I'd like to rent an automatic scooter,
chat_travel_6_t0_you2,Tôi chưa từng lái xe máy,I've never ridden a motorbike,
chat_travel_6_t1_them,Giá là 150 nghìn một ngày nhé,That's 150k per day,
chat_travel_6_t1_you0,Khoảng 3 ngày,About 3 days,
chat_travel_6_t1_you1,Chưa biết nữa,Not sure yet,
chat_travel_6_t1_you2,Thuê luôn không trả,Rent it and never give it back,
chat_travel_6_t2_them,"Dạ, cọc 2 triệu hoặc giữ hộ chiếu","A 2 million deposit, or we can hold your passport",
chat_travel_6_t2_you0,Có cần đặt cọc không anh?,Do I need to leave a deposit?,
chat_travel_6_t2_you1,Tôi không có tiền cọc,I don't have deposit money,
chat_travel_6_t2_you2,Cọc để làm gì?,What's the deposit for?,
chat_travel_6_t3_them,"Được, đây là xe của anh/chị, lái cẩn thận nhé!","Great, here's your bike, ride safely!",
chat_travel_6_t3_you0,"Cho tôi gửi tiền cọc, không gửi hộ chiếu","I'll leave the cash deposit, not my passport",
chat_travel_6_t3_you1,Tôi gửi hộ chiếu vậy,I'll leave my passport then,
chat_travel_6_t3_you2,Tôi không cọc gì cả,I won't leave any deposit,
concept_c1_,đã,already (past),
concept_c1_bn,bạn,friend / you,
concept_c1_cm,cơm,cooked rice,
concept_c1_cmn,cảm ơn,thank you,
concept_c1_i,đi,to go,
concept_c1_khng,không,no / not,
concept_c1_n,ăn,to eat,
concept_c1_nc,nước,water,
concept_c1_nh,nhà,house,
concept_c1_s,sẽ,will (future),
concept_c1_vng,vâng,yes,
concept_c1_xincho,xin chào,hello,
concept_c10_Anhithngnh,Anh đi thẳng nhé.,"Go straight, okay?",
concept_c10_Dc,Dạ có.,Yes (respectful).,
concept_c10_Demhiu,"Dạ, em hiểu ạ.","Yes, I understand.",
concept_c11_Cylgiovin,Cô ấy là giáo viên.,She is a teacher.,
concept_c11_MnhlAnna,Mình là Anna.,I am Anna.,
concept_c11_MnhlNam,Mình là Nam.,I am Nam.,
concept_c12_Cyangnph,Cô ấy đang ăn phở.,She is eating pho.,
concept_c12_HanghctingVit,Họ đang học tiếng Việt.,They are studying Vietnamese.,
concept_c12_MnhangsngSiGn,Mình đang sống ở Sài Gòn.,I am living in Saigon.,
concept_c13_Bncikhng,Bạn có đói không?,Are you hungry?,
concept_c13_BncnitingAnhkhng,Bạn có nói tiếng Anh không?,Do you speak English?,
concept_c14_bamihainghnng,ba mươi hai nghìn đồng,thirty-two thousand dong,
concept_c14_bnmilm,bốn mươi lăm,forty-five,
concept_c14_nmminghnng,năm mươi nghìn đồng,fifty thousand dong,
concept_c15_Hmquamnhxemphimri,Hôm qua mình xem phim rồi.,I already watched a movie yesterday.,
concept_c15_Mnhhiuri,Mình hiểu rồi.,I understand now.,
concept_c15_Tinri,Tôi ăn rồi.,I already ate.,
concept_c16_Chiunaymnhiungcphnh,Chiều nay mình đi uống cà phê nhé?,Shall we go drink coffee this afternoon?,
concept_c16_Hmnaychngtainh,Hôm nay chúng ta đi nhé?,Shall we go today?,
concept_c16_Ngymaitinph,Ngày mai tôi ăn phở.,Tomorrow I will eat pho.,
concept_c17_Ticbnhm,Tôi có bánh mì.,I have bread.,
concept_c17_Tikhngc,Tôi không có.,I do not have any.,
concept_c17_ycbnhm,Ở đây có bánh mì.,There is bread here.,
concept_c18_Camhmnayrtti,Cam hôm nay rất tươi.,The oranges today are very fresh.,
concept_c18_Trirtmt,Trời rất mát.,The weather is very cool.,
concept_c18_Trrtnng,Trà rất nóng.,The tea is very hot.,
concept_c19_Gihngcabny,Gói hàng của bạn đây ạ.,Here is your package.,
concept_c19_inthoicati,Điện thoại của tôi.,My phone.,
concept_c19_Mcatiltmchnkhng,Mã của tôi là tám chín không.,My code is eight-nine-zero.,
concept_c20_baonhiutin,bao nhiêu tiền?,how much is it?,
concept_c20_bn,bán,to sell,
concept_c20_gi,giá,price,
concept_c20_gimgi,giảm giá,discount,
concept_c20_han,hóa đơn,receipt,
concept_c20_mua,mua,to buy,
concept_c20_ng,đồng,Vietnamese currency,
concept_c20_r,rẻ,cheap,
concept_c20_t,đắt,expensive,
concept_c20_th,thẻ,card,
concept_c20_tin,tiền,money,
concept_c20_tinmt,tiền mặt,cash,
concept_c20_tinthi,tiền thối,change (money),
concept_c20_tngcng,tổng cộng,total,
concept_c20_tnhtin,tính tiền,"the bill, please",
concept_c20_tqu,đắt quá,too expensive,
concept_c20_trbngthckhng,trả bằng thẻ được không?,can I pay by card?,
concept_c20_trtin,trả tiền,to pay,
concept_c21_Ticni,Tôi cần đi.,I need to go.,
concept_c21_Timunhontin,Tôi muốn hoàn tiền.,I want a refund.,
concept_c21_Timuntrli,Tôi muốn trả lại.,I want to return it.,
concept_c22_Cclnhnkhng,Có cỡ lớn hơn không?,Do you have a bigger size?,
concept_c22_Phngcatikhngcncnng,Phòng của tôi không có nước nóng.,My room has no hot water.,
concept_c22_Tithchtr,Tôi thích trà đá.,I like iced tea.,
concept_c23_Anhslm,Anh sẽ làm.,I will do it.,
concept_c23_Emsn,Em sẽ ăn.,I will eat.,
concept_c23_Tisi,Tôi sẽ đi.,I will go.,
concept_c24_Chngtii,Chúng tôi đã đi.,We went.,
concept_c24_Cyn,Cô ấy đã ăn.,She ate.,
concept_c24_Tilmvicmttrnghchainm,Tôi đã làm việc ở một trường học hai năm.,I worked at a school for two years.,
concept_c3_Chomnhncnha,Cho mình nước nha.,"Get me some water, please (used with a peer).",
concept_c3_Emchoanh,Em chào anh.,Hello (said by a younger person to an older man).,
concept_c3_Tilhcsinh,Tôi là học sinh.,I am a student (neutral and formal).,
concept_c4_Dkhngemkhnghiu,"Dạ không, em không hiểu ạ.","No, I don't understand.",
concept_c4_Emhiucha,Em hiểu chưa?,Do you understand yet?,
concept_c4_Tichan,Tôi chưa ăn.,I have not eaten yet.,
concept_c5_MnhntM,Mình đến từ Mỹ.,I come from America.,
concept_c5_Tiungcph,Tôi uống cà phê.,I drink coffee.,
concept_c6_Bncng,Bạn cần gì?,What do you need?,
concept_c6_Bnlai,Bạn là ai?,Who are you?,
concept_c6_Gatuu,Ga tàu ở đâu?,Where is the train station?,
concept_c7_Cynh,Cô ấy ở nhà.,She is at home.,
concept_c7_kia,Ở kia ạ.,It is over there.,
concept_c7_MnhsngHNi,Mình sống ở Hà Nội.,I live in Hanoi.,
concept_c8_bacibn,ba cái bàn,three tables,
concept_c8_haicccph,hai cốc cà phê,two cups of coffee,
concept_c8_mtcibnhngt,một cái bánh ngọt,one pastry,
concept_c9_ba,ba,three,
concept_c9_bami,ba mươi,thirty,
concept_c9_bamilm,ba mươi lăm,thirty-five,
concept_c9_bn,bốn,four,
concept_c9_bnmi,bốn mươi,forty,
concept_c9_by,bảy,seven,
concept_c9_bymi,bảy mươi,seventy,
concept_c9_chn,chín,nine,
concept_c9_chnmi,chín mươi,ninety,
concept_c9_hai,hai,two,
concept_c9_haimi,hai mươi,twenty,
concept_c9_haimimt,hai mươi mốt,twenty-one,
concept_c9_haitrmnmmi,hai trăm năm mươi,two hundred fifty,
concept_c9_mi,mười,ten,
concept_c9_mihai,mười hai,twelve,
concept_c9_milm,mười lăm,fifteen,
concept_c9_mimt,mười một,eleven,
concept_c9_minghn,mười nghìn,ten thousand,
concept_c9_mt,một,one,
concept_c9_mtnghn,một nghìn,one thousand,
concept_c9_mttriu,một triệu,one million,
concept_c9_mttrm,một trăm,one hundred,
concept_c9_mttrmnghn,một trăm nghìn,one hundred thousand,
concept_c9_nm,năm,five,
concept_c9_nmmi,năm mươi,fifty,
concept_c9_su,sáu,six,
concept_c9_sumi,sáu mươi,sixty,
concept_c9_tm,tám,eight,
concept_c9_tmmi,tám mươi,eighty,
core_1,Xin chào,Hello,
core_10,Ở đâu?,Where is it?,
core_12,Bạn nói tiếng Anh được không?,Do you speak English?,
core_13,Giúp tôi với!,Help me!,
core_14,Tôi muốn...,I want...,
core_15,Cho tôi...,Give me... / I'd like...,
core_16,Đi thẳng,Go straight,
core_17,Rẽ trái / Rẽ phải,Turn left / right,
core_18,Gần đây,Nearby,
core_19,Xa không?,Is it far?,
core_2,Cảm ơn,Thank you,
core_20,Mấy giờ?,What time is it?,
core_21,Hôm nay,Today,
core_22,Ngày mai,Tomorrow,
core_23,Tên tôi là...,My name is...,
core_24,Bạn tên là gì?,What's your name?,
core_25,Rất vui được gặp bạn,Nice to meet you,
core_26,Đắt quá,Too expensive,
core_27,Bớt chút được không?,Can you lower it a bit?,
core_28,Ngon quá!,So delicious!,
core_29,Không cay,Not spicy,
core_3,Không,No,
core_30,Nước,Water,
core_31,Tính tiền,"The bill, please",
core_32,Thối lại nhé,Please give me my change,
core_33,Chờ một chút,Wait a moment,
core_34,Tôi bị lạc,I'm lost,
core_35,Nhà vệ sinh ở đâu?,Where's the bathroom?,
core_36,Tôi cần...,I need...,
core_37,Tôi ổn,I'm fine,
core_38,Từ từ thôi,Take it slow / no rush,
core_39,Tôi suy nghĩ thêm,I'll think about it,
core_4,Dạ / Vâng,Yes (polite),
core_40,Đúng rồi,That's right,
core_5,Xin lỗi,Sorry / excuse me,
core_6,Làm ơn,Please,
core_7,Tạm biệt,Goodbye,
core_8,Được,Okay / that works,
core_9,Bao nhiêu tiền?,How much does it cost?,
cphrase_10,Lâu rồi không gặp,Long time no see,
cphrase_100,Tôi có thể hỏi một câu không?,Can I ask a question?,
cphrase_101,Cho tôi thêm một chút,Give me a bit more,
cphrase_102,Bạn cần tôi làm gì?,What do you need me to do?,
cphrase_103,Tôi xin phép ra ngoài,May I go outside,
cphrase_104,Bạn đợi ở đây nhé,Wait here please,
cphrase_105,Đưa tôi cái đó,Hand me that,
cphrase_106,Tôi có thể dùng cái này không?,Can I use this?,
cphrase_107,Cho tôi qua,Let me through,
cphrase_108,Xin đừng lo lắng,Please don't worry,
cphrase_109,Đừng ngại,Don't be shy,
cphrase_11,Dạo này thế nào?,How have you been lately?,
cphrase_110,Cứ tự nhiên,Make yourself at home,
cphrase_111,Bạn cứ nói,Go ahead and say it,
cphrase_112,Tôi mệt quá,I'm so tired,
cphrase_113,Tôi đói bụng,I'm hungry,
cphrase_114,Tôi no rồi,I'm full,
cphrase_115,Tôi khát nước,I'm thirsty,
cphrase_116,Tôi buồn ngủ,I'm sleepy,
cphrase_117,Tôi vui quá,I'm so happy,
cphrase_118,Tôi buồn,I'm sad,
cphrase_119,Tôi lo lắng,I'm worried,
cphrase_12,Khỏe không?,Are you doing well?,
cphrase_120,Tôi sợ,I'm scared,
cphrase_121,Tôi tức giận,I'm angry,
cphrase_122,Tôi thất vọng,I'm disappointed,
cphrase_123,Tôi hồi hộp,I'm nervous,
cphrase_124,Tôi thấy nhớ nhà,I feel homesick,
