ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound,Why
word_du khách,du khách,a tourist or traveler,,,missing
word_nỗ lực,nỗ lực,to strive; to endeavor; great effort,,,missing
word_cảm nhận,cảm nhận,to feel; to sense; to detect; thoughts,,,missing
word_nguy cơ,nguy cơ,"the risk, odds or likelihood of something disastrous happe…",,,missing
word_nhà hàng,nhà hàng,"a restaurant that accommodates large numbers of people, is…",,,missing
word_trận đấu,trận đấu,a match; competition; a battle; fight,,,missing
word_khác biệt,khác biệt,different,,,missing
word_nghiêm túc,nghiêm túc,serious,,,missing
word_hợp lý,hợp lý,Alternative spelling of hợp lí,,,missing
word_duy trì,duy trì,"to maintain, to support, to keep up, to uphold",,,missing
word_tác động,tác động,to have an effect (on); to influence,,,missing
word_giám sát,giám sát,to supervise; to check; to oversee,,,missing
word_tiêu chuẩn,tiêu chuẩn,standard,,,missing
word_kỹ năng,kỹ năng,Alternative spelling of kĩ năng,,,missing
word_nông nghiệp,nông nghiệp,agriculture,,,missing
word_thế thì,thế thì,so; then; in that case,,,missing
word_phổ biến,phổ biến,common / widespread,,,missing
word_năng lực,năng lực,capability,,,missing
word_nông dân,nông dân,a peasant (member of the agriculture low class),,,missing
word_vợ chồng,vợ chồng,"conjugal, marital; husband and wife",,,missing
word_thích hợp,thích hợp,suitable; matching; fitting,,,missing
word_Hàn Quốc,Hàn Quốc,South Korean,,,missing
word_phản ứng,phản ứng,to react; to respond; a reaction; a response,,,missing
word_xem xét,xem xét,to examine; to consider; to review,,,missing
word_tính năng,tính năng,a function or feature,,,missing
word_hay là,hay là,"represents an alternative theory, option or solution in an…",,,missing
word_Nhật,Nhật,Japanese,,,missing
word_Tết,Tết,New Year (either the first few days of the calendrical New…,,,missing
word_thời trang,thời trang,fashion,,,missing
word_nhà máy,nhà máy,"factory, plant",,,missing
word_diễn viên,diễn viên,an actor (person who performs in a theatrical play or film),,,missing
word_màu sắc,màu sắc,colours,,,missing
word_đô thị,đô thị,"a city, particularly an administrative division or urban a…",,,missing
word_tự hào,tự hào,proud,,,missing
word_cao cấp,cao cấp,high-ranking; senior; advanced,,,missing
word_con số,con số,number; figure,,,missing
word_lập tức,lập tức,immediately,,,missing
word_hàng hoá,hàng hoá,goods,,,missing
word_tác giả,tác giả,author,,,missing
word_hàng đầu,hàng đầu,foremost; leading; top; first place,,,missing
word_anh chàng,anh chàng,guy; dude; chap,,,missing
word_cạnh tranh,cạnh tranh,to compete; competitive (inclined to compete),,,missing
word_vì thế,vì thế,therefore; thus; hence; as a result,,,missing
word_miễn phí,miễn phí,free of charge,,,missing
word_xứng đáng,xứng đáng,to deserve; to be worthy of; deserving,,,missing
word_văn bản,văn bản,written text; passage; document,,,missing
word_chào mừng,chào mừng,welcome,,,missing
word_anh hùng,anh hùng,heroic; a hero,,,missing
word_quốc hội,quốc hội,a national legislature,,,missing
word_uỷ ban,uỷ ban,committee,,,missing
word_cảm xúc,cảm xúc,to be affected by emotion; to feel,,,missing
word_trung ương,trung ương,"central; the central government, Hanoi",,,missing
word_cầu thủ,cầu thủ,a ball player,,,missing
word_ngày nay,ngày nay,nowadays; these days,,,missing
word_tiêu dùng,tiêu dùng,to consume (goods and services); to spend,,,missing
word_địa điểm,địa điểm,location,,,missing
word_tăng trưởng,tăng trưởng,to grow; to develop,,,missing
word_lái xe,lái xe,to drive a car (or any vehicle); driver,,,missing
word_tưởng tượng,tưởng tượng,to imagine,,,missing
word_đời sống,đời sống,life,,,missing
word_hành vi,hành vi,an act; a deed,,,missing
word_mở cửa,mở cửa,to open the door,,,missing
word_tuỳ,tuỳ,depends / up to,,,missing
word_nêu,nêu,"to raise (a question, suggestion, etc.)",,,missing
word_bộ trưởng,bộ trưởng,a minister or secretary (head of a department of government),,,missing
word_đại biểu,đại biểu,a representative,,,missing
word_đóng góp,đóng góp,to contribute; contribution,,,missing
word_dự kiến,dự kiến,to foresee; to foreknow; to prepare beforehand,,,missing
word_xinh đẹp,xinh đẹp,beautiful; pretty,,,missing
word_phương tiện,phương tiện,a thing that aids people to do something,,,missing
word_sự nghiệp,sự nghiệp,a career (one's calling in life,,,missing
word_nhất định,nhất định,"fixed, certain, given",,,missing
word_thi đấu,thi đấu,to compete athletically,,,missing
word_phong trào,phong trào,movement (an activity that attracts numerous participants),,,missing
word_hành tinh,hành tinh,a planet,,,missing
word_ban đầu,ban đầu,first; initial; beginning; the get-go,,,missing
word_chùa,chùa,"for free, without charge; free, uncharged",,,missing
word_phức tạp,phức tạp,complicated,,,missing
word_thu nhập,thu nhập,earnings,,,missing
word_bảo hiểm,bảo hiểm,insurance,,,missing
word_tiếp cận,tiếp cận,to approach; to reach,,,missing
word_giáo sư,giáo sư,a professor,,,missing
word_phẫu thuật,phẫu thuật,surgery (procedure involving major incisions,,,missing
word_thay thế,thay thế,to replace; to take the place of,,,missing
word_lợi ích,lợi ích,benefit; interest,,,missing
word_Đà Nẵng,Đà Nẵng,Da Nang,,,missing
word_khẩu trang,khẩu trang,face mask,,,missing
word_tội phạm,tội phạm,crime; criminal,,,missing
word_nghi ngờ,nghi ngờ,to doubt; to suspect,,,missing
word_bảo đảm,bảo đảm,to ensure; to guarantee,,,missing
word_từ chối,từ chối,to refuse,,,missing
word_khám phá,khám phá,to discover; to find out; to explore,,,missing
word_cuộc chiến,cuộc chiến,war; fight; battle,,,missing
word_dễ thương,dễ thương,cute / lovable,,,missing
word_thế hệ,thế hệ,generation (single step in the succession of natural desce…,,,missing
word_nghiêm trọng,nghiêm trọng,serious / severe,,,missing
word_cách mạng,cách mạng,revolution,,,missing
word_thủ tướng,thủ tướng,"a premier, a prime minister or a chancellor",,,missing
word_chủ đề,chủ đề,"subject, theme, leitmotif",,,missing
word_chuyên môn,chuyên môn,highly prone to; highly inclined to,,,missing
word_phát biểu,phát biểu,to express; to formulate,,,missing
word_đòi hỏi,đòi hỏi,to require; to need; to demand; to exact,,,missing
word_tài khoản,tài khoản,account,,,missing
word_tín hiệu,tín hiệu,"sign, signal",,,missing
word_sân bay,sân bay,airport,,,missing
word_liên kết,liên kết,to associate (with); to ally (with),,,missing
word_nông thôn,nông thôn,the countryside; the country; rural areas,,,missing
word_cửa sổ,cửa sổ,window,,,missing
word_đối mặt,đối mặt,"to face (difficulty, danger, etc.)",,,missing
word_ma tuý,ma tuý,narcotic; illicit drug,,,missing
word_truyền hình,truyền hình,to transmit image (usually also implying audio) using tele…,,,missing
word_xác nhận,xác nhận,to confirm,,,missing
word_tổn thương,tổn thương,to harm; to damage; to wound; to injure,,,missing
word_cho nên,cho nên,therefore; hence; consequently,,,missing
word_vui lòng,vui lòng,please,,,missing
word_ngu ngốc,ngu ngốc,"dull, dull-headed",,,missing
word_tình dục,tình dục,sex (act of sexual intercourse),,,missing
word_quy hoạch,quy hoạch,to plan (a city),,,missing
word_tuyên bố,tuyên bố,to announce; to declare; announcement,,,missing
word_dân số,dân số,population (a count of the number of residents within a po…,,,missing
word_đe doạ,đe doạ,to threaten (with); to menace (with),,,missing
word_vi phạm,vi phạm,to violate (a law); to break,,,missing
word_luôn luôn,luôn luôn,always,,,missing
word_bằng chứng,bằng chứng,evidence; proof,,,missing
word_đặc vụ,đặc vụ,special agent; secret agent,,,missing
word_quan sát,quan sát,to observe; observation,,,missing
word_đội ngũ,đội ngũ,"team, staff, corps",,,missing
word_âm nhạc,âm nhạc,music (as a concept),,,missing
word_căn cứ,căn cứ,"to base on; basis, grounds",,,missing
word_công cụ,công cụ,tool,,,missing
word_lúa,lúa,short for hai lúa (“rustic; bumpkinish”),,,missing
word_cho dù,cho dù,even though; although; even if,,,missing
word_tự tin,tự tin,to be self-confident; self-confident,,,missing
word_cảnh báo,cảnh báo,to warn; to alert; warning; alert,,,missing
word_để ý,để ý,to pay attention; to regard; to take notice of,,,missing
word_thông thường,thông thường,commonly; usually; ordinarily; common,,,missing
word_New York,New York,"New York, New York City (the largest city in the state of …",,,missing
word_đối thủ,đối thủ,opponent; rival; competitor,,,missing
word_ờ,ờ,yeah; nope; uh; er,,,missing
word_mức độ,mức độ,level / degree,,,missing
word_hoá ra,hoá ra,it turns out,,,missing
word_Tây,Tây,alternative letter-case form of tây (“Western,,,missing
word_quan điểm,quan điểm,a stance (opinion or point of view),,,missing
word_căng thẳng,căng thẳng,strained; stressed; tense,,,missing
word_ra mắt,ra mắt,to present oneself (in front of others),,,missing
word_bỏ qua,bỏ qua,to bypass; to skip; to let slip; to miss,,,missing
word_cập nhật,cập nhật,to update; to keep yourself posted,,,missing
word_trung bình,trung bình,average,,,missing
word_cải thiện,cải thiện,to improve; to better,,,missing
word_sắp xếp,sắp xếp,"to arrange, to organize",,,missing
word_xu hướng,xu hướng,tendency; trend,,,missing
word_chị em,chị em,sisters,,,missing
word_gạo,gạo,"engrossed in studies; dehusked, uncooked rice",,,missing
word_nhẹ nhàng,nhẹ nhàng,gentle / light,,,missing
word_truyền thông,truyền thông,communication; media,,,missing
word_sinh hoạt,sinh hoạt,to engage in non-work everyday or community activities,,,missing
word_tế bào,tế bào,a cell,,,missing
word_thuyết phục,thuyết phục,to persuade,,,missing
word_chờ đợi,chờ đợi,to wait; to await,,,missing
word_kết hôn,kết hôn,to get married,,,missing
word_hình thành,hình thành,to form; to take shape,,,missing
word_nhiệt độ,nhiệt độ,temperature,,,missing
word_thế kỷ,thế kỷ,Alternative spelling of thế kỉ,,,missing
word_kẻ thù,kẻ thù,enemy; foe,,,missing
word_hành chính,hành chính,administrative,,,missing
word_Hoa Kỳ,Hoa Kỳ,alternative spelling of Hoa Kì,,,missing
word_chứng kiến,chứng kiến,to witness; to see,,,missing
word_kỷ niệm,kỷ niệm,memory / to commemorate,,,missing
word_tâm lý,tâm lý,Alternative spelling of tâm lí,,,missing
word_nổi bật,nổi bật,distinguished; notable; salient; prominent,,,missing
word_tự động,tự động,"automatic, spontaneous",,,missing
word_tình huống,tình huống,"situation, state of affairs",,,missing
word_thanh toán,thanh toán,to pay,,,missing
word_tôn trọng,tôn trọng,to respect; to honour; to revere,,,missing
word_nghỉ ngơi,nghỉ ngơi,to rest,,,missing
word_nhập khẩu,nhập khẩu,to import,,,missing
word_âm thanh,âm thanh,sound,,,missing
word_sợ hãi,sợ hãi,"scared, afraid",,,missing
word_thuận lợi,thuận lợi,favourable,,,missing
word_thôn,thôn,village,,,missing
word_tồi tệ,tồi tệ,bad; evil; terrible,,,missing
word_thừa nhận,thừa nhận,"to recognise (one's shortcomings, faults, etc.)",,,missing
word_độc đáo,độc đáo,unique; original,,,missing
word_bàn tay,bàn tay,hand; hand; participation; involvement,,,missing
word_hiện tượng,hiện tượng,a phenomenon,,,missing
word_tối đa,tối đa,at most; maximum,,,missing
word_báo chí,báo chí,the press,,,missing
word_động cơ,động cơ,state of someone's mind when committing a crime,,,missing
word_hoàn cảnh,hoàn cảnh,"circumstances, especially historical circumstances, or sur…",,,missing
word_đạo đức,đạo đức,morality; ethics,,,missing
word_ả,ả,elder sister; villainess,,,missing
word_thành phần,thành phần,"component, constituent, composition, background",,,missing
word_thảo luận,thảo luận,to discuss,,,missing
word_quá khứ,quá khứ,the past,,,missing
word_giải thưởng,giải thưởng,a prize; award; trophy,,,missing
word_làm ăn,làm ăn,to work (for one's living); to make a living,,,missing
word_chiến trận,chiến trận,battle,,,missing
word_hài lòng,hài lòng,contented; satisfied,,,missing
word_khó chịu,khó chịu,uncomfortable; uneasy; intolerable,,,missing
word_thống nhất,thống nhất,to unite; to unify,,,missing
word_thực ra,thực ra,actually; in fact; really,,,missing
word_tết,tết,"to plait; to twist (rope, hair, etc.)",,,missing
word_mẹ kiếp,mẹ kiếp,damn it,,,missing
word_tham quan,tham quan,to visit and examine thoroughly (a fascinating place),,,missing
word_đám cưới,đám cưới,wedding,,,missing
word_sống sót,sống sót,to survive,,,missing
word_quý vị,quý vị,you,,,missing
word_Huế,Huế,Hue (a large city in Central Vietnam),,,missing
word_đàn bà,đàn bà,woman (adult female human),,,missing
word_im lặng,im lặng,silent,,,missing
word_Sài Gòn,Sài Gòn,Saigon,,,missing
word_cổ phần,cổ phần,"equity (ownership, especially in terms of net monetary val…",,,missing
word_ngôn ngữ,ngôn ngữ,language,,,missing
word_em gái,em gái,younger sister,,,missing
word_năm học,năm học,a school year,,,missing
word_bất động sản,bất động sản,real estate (property that cannot easily be moved),,,missing
word_thành tích,thành tích,achievement; attainment; (academic) results,,,missing
word_lợi nhuận,lợi nhuận,profit,,,missing
word_vĩ đại,vĩ đại,"great, extraordinary",,,missing
word_vô địch,vô địch,to be the champion,,,missing
word_đổi mới,đổi mới,to renovate; to modernise,,,missing
word_chiến dịch,chiến dịch,a campaign (series of operations undertaken to achieve a s…,,,missing
word_thử nghiệm,thử nghiệm,trial; experiment,,,missing
word_ra đời,ra đời,to be born; to come into the world,,,missing
word_thất vọng,thất vọng,disappointed; disappointment,,,missing
word_ngân sách,ngân sách,budget,,,missing
word_chế biến,chế biến,to process; to refine,,,missing
word_lễ hội,lễ hội,festival,,,missing
word_tài năng,tài năng,talent; skill; talented person; talent,,,missing
word_đóng cửa,đóng cửa,to close the door; to shut the door,,,missing
word_hoàn thiện,hoàn thiện,to complete; to perfect,,,missing
word_thiên nhiên,thiên nhiên,natural; nature,,,missing
word_truy cập,truy cập,to access,,,missing
word_trang trí,trang trí,to decorate,,,missing
word_bản đồ,bản đồ,map,,,missing
word_trang phục,trang phục,costume; attire; dress,,,missing
word_công nhân,công nhân,blue-collar worker; worker,,,missing
word_nhận thức,nhận thức,to get to know; to cognise; to realise,,,missing
word_sinh nhật,sinh nhật,birthday; birthday party,,,missing
word_tạp chí,tạp chí,a journal (newspaper or magazine),,,missing
word_mệt mỏi,mệt mỏi,"tired, exhausted",,,missing
word_quản trị,quản trị,to supervise; to administer; to manage,,,missing
word_tổng hợp,tổng hợp,to join; to unite; to combine; to synthesise,,,missing
word_khốn kiếp,khốn kiếp,Damn! Shit!,,,missing
word_phần lớn,phần lớn,the greatest part; the most part,,,missing
word_tập thể,tập thể,communal; a community or union of people,,,missing
word_kiến trúc,kiến trúc,architecture; structure,,,missing
word_kích thước,kích thước,size; measurement; dimension,,,missing
word_thưởng thức,thưởng thức,"to enjoy, to appreciate",,,missing
word_hành trình,hành trình,a journey,,,missing
word_lưu ý,lưu ý,"to be careful, to watch out",,,missing
word_cổ phiếu,cổ phiếu,a single share/stock issued to prospective investors,,,missing
word_ca sĩ,ca sĩ,a singer (person who sings),,,missing
word_anh trai,anh trai,you (used for a male who the speaker assumes is somewhat o…,,,missing
word_thuyền trưởng,thuyền trưởng,a sea captain,,,missing
word_giải trí,giải trí,to amuse; to relax; to entertain oneself,,,missing
word_khổng lồ,khổng lồ,huge; gigantic; colossal; massive; enormous,,,missing
word_ngăn chặn,ngăn chặn,to prevent; to block; to stop,,,missing
word_áp lực,áp lực,pressuring; stressful; pressure,,,missing
word_đại hội,đại hội,assembly; congress; conference,,,missing
word_động vật,động vật,an animal,,,missing
word_quân sự,quân sự,military,,,missing
word_công bằng,công bằng,just; fair,,,missing
word_tín dụng,tín dụng,credit,,,missing
word_nghệ sĩ,nghệ sĩ,a specialist in humanities,,,missing
word_đa dạng,đa dạng,diversified; diverse,,,missing
word_yêu thương,yêu thương,to love and cherish; to be attached to,,,missing
word_thời tiết,thời tiết,weather,,,missing
word_mãi mãi,mãi mãi,for a very long time; always and always,,,missing
word_biểu diễn,biểu diễn,to perform,,,missing
word_Đoàn,Đoàn,a surname from Chinese,,,missing
word_năm ngoái,năm ngoái,last year,,,missing
word_hội thảo,hội thảo,a formal meeting where important topics are discussed,,,missing
word_toàn cầu,toàn cầu,whole world; entire world; globe,,,missing
word_tha thứ,tha thứ,to forgive; to pardon,,,missing
word_người yêu,người yêu,lover / partner,,,missing
word_nhà thờ,nhà thờ,a house of worship,,,missing
word_học viên,học viên,"a student who does not go to an accredited institution, bu…",,,missing
word_phát huy,phát huy,to bring into play,,,missing
word_trang web,trang web,web page; website,,,missing
word_bóng đá,bóng đá,association football; soccer,,,missing
word_kịp thời,kịp thời,timely; in time,,,missing
word_thời kỳ,thời kỳ,Alternative spelling of thời kì,,,missing
word_Ấn Độ,Ấn Độ,India (a country in South Asia),,,missing
word_đối tác,đối tác,partner; collaborator,,,missing
word_quy mô,quy mô,"scale, scope",,,missing
word_chủ động,chủ động,active or proactive,,,missing
word_di động,di động,mobile; roving,,,missing
word_thần kinh,thần kinh,mental or nervous; crazy; nuts,,,missing
word_thống kê,thống kê,statistics,,,missing
word_dinh dưỡng,dinh dưỡng,nutrition,,,missing
word_hẹn hò,hẹn hò,to make an appointment; to make a date,,,missing
word_Đông,Đông,a unisex given name from Chinese,,,missing
word_nguyên tắc,nguyên tắc,principle,,,missing
word_thí nghiệm,thí nghiệm,"experiment, test",,,missing
word_khủng bố,khủng bố,"to terrorize, to cause terror",,,missing
word_công nhận,công nhận,to recognize or approve; to agree,,,missing
word_giới hạn,giới hạn,limit; bound,,,missing
word_Bác,Bác,"I/me, the old Ho Chi Minh",,,missing
word_công viên,công viên,a park (ground for recreation),,,missing
word_Google,Google,Google (search engine or company),,,missing
word_trình độ,trình độ,"talented, skilled; level (of ability)",,,missing
word_sang trọng,sang trọng,luxurious and elegant (generally speaking),,,missing
word_chia tay,chia tay,to part ways (with); to say goodbye (to),,,missing
word_ưu tiên,ưu tiên,priority,,,missing
word_bài học,bài học,lesson (for a student); lesson,,,missing
word_sửa chữa,sửa chữa,to repair,,,missing
word_Hùng,Hùng,a male given name from Chinese,,,missing
word_phỏng vấn,phỏng vấn,interview,,,missing
word_vùng đất,vùng đất,land; territory,,,missing
word_công chúa,công chúa,"princess, daughter of a monarch (king, emperor)",,,missing
word_vận chuyển,vận chuyển,to transport; to deliver; to ship,,,missing
word_đáng kể,đáng kể,noticeable; significant; remarkable,,,missing
word_huấn luyện,huấn luyện,to train / coach,,,missing
word_chìa khoá,chìa khoá,key (device designed to open and close a lock),,,missing
word_độc lập,độc lập,independent; independence,,,missing
word_Á,Á,"Asian (of, from or relating to Asia)",,,missing
word_tiếp xúc,tiếp xúc,to make contact (with something),,,missing
word_quyền lực,quyền lực,power; authority,,,missing
word_phụ thuộc,phụ thuộc,to depend (on); to be dependent (on),,,missing
word_linh hồn,linh hồn,"soul, spirit",,,missing
word_khuôn mặt,khuôn mặt,face; facial appearance,,,missing
word_quái vật,quái vật,monster,,,missing
word_gương mặt,gương mặt,face; look; expression (of the face),,,missing
word_phản bội,phản bội,to betray; to be unfaithful to,,,missing
word_từ bỏ,từ bỏ,to abandon; to disown; to reject; to renounce,,,missing
word_giấy tờ,giấy tờ,documents,,,missing
word_phát hành,phát hành,"to release (to make available to the public), to publish",,,missing
word_thủ đô,thủ đô,capital city of a sovereign state or a de facto independen…,,,missing
word_khắc phục,khắc phục,to overcome a weakness or shortcoming,,,missing
word_hậu quả,hậu quả,consequence; aftermath,,,missing
word_coi chừng,coi chừng,to watch out; to look out,,,missing
word_hàng loạt,hàng loạt,"mass (production, storage, distribution, etc.)",,,missing
word_mua sắm,mua sắm,to go shopping,,,missing
word_tuyên truyền,tuyên truyền,to propagate; propaganda,,,missing
word_sân khấu,sân khấu,stage,,,missing
word_tổng số,tổng số,total amount; total,,,missing
word_đề tài,đề tài,"subject, theme; project",,,missing
word_uy tín,uy tín,reputable; credibility,,,missing
word_Thái Lan,Thái Lan,Thailand (a country in Southeast Asia),,,missing
word_bà con,bà con,"y'all, my rural townspeople; relatives",,,missing
word_cam kết,cam kết,to pledge (to); to commit (to); pledge,,,missing
word_chấm dứt,chấm dứt,to end; to terminate; to put an end to,,,missing
word_triệu chứng,triệu chứng,a sign; omen,,,missing
word_người thân,người thân,relative (someone in the same family,,,missing
word_trình bày,trình bày,to present; to set forth,,,missing
word_đâu đó,đâu đó,somewhere,,,missing
word_ăn uống,ăn uống,to consume foods and drinks (generally speaking),,,missing
word_kích thích,kích thích,to stimulate; to incite; to excite,,,missing
word_vừa mới,vừa mới,just; recently; newly,,,missing
word_cơ chế,cơ chế,mechanism; structure,,,missing
word_tin tức,tin tức,news,,,missing
word_hầu hết,hầu hết,nearly all; almost all; most,,,missing
word_quyến rũ,quyến rũ,to seduce; to charm; to captivate; charming,,,missing
word_ý thức,ý thức,to recognize; to be aware of; consciousness,,,missing
word_mô tả,mô tả,to describe,,,missing
word_đề xuất,đề xuất,to suggest; to put forward; to propose,,,missing
word_vũ trụ,vũ trụ,the universe; outer space,,,missing
word_nguyên liệu,nguyên liệu,raw material; an ingredient,,,missing
word_trường học,trường học,school,,,missing
word_ghi nhận,ghi nhận,to record; to acknowledge,,,missing
word_thói quen,thói quen,habit,,,missing
word_trưởng thành,trưởng thành,to grow up; mature,,,missing
word_gia tăng,gia tăng,to increase,,,missing
word_thúc đẩy,thúc đẩy,to promote; to speed up; to motivate,,,missing
word_đồng nghiệp,đồng nghiệp,colleague,,,missing
word_trẻ con,trẻ con,childish; infantile; children,,,missing
word_vật liệu,vật liệu,material,,,missing
word_miêu tả,miêu tả,to describe; to outline,,,missing
word_tiêu thụ,tiêu thụ,to sell (goods); to consume; to use,,,missing
word_xét nghiệm,xét nghiệm,medical test,,,missing
word_tiêu diệt,tiêu diệt,"to kill, to apply genocide, to destroy",,,missing
word_em trai,em trai,younger brother,,,missing
word_giải phóng,giải phóng,to liberate; to free; to emancipate,,,missing
word_phân phối,phân phối,to distribute; to allocate; distributive,,,missing
word_vật chất,vật chất,matter; material; substance,,,missing
word_đau đớn,đau đớn,painful; sore,,,missing
word_phóng viên,phóng viên,a correspondent or reporter,,,missing
word_trực tuyến,trực tuyến,online,,,missing
word_đại tá,đại tá,senior colonel; commodore,,,missing
word_sĩ quan,sĩ quan,a commissioned officer,,,missing
word_hôn nhân,hôn nhân,marriage,,,missing
word_tính toán,tính toán,to calculate (to determine the value of something by a mat…,,,missing
word_thế mà,thế mà,but; however; yet; still; nevertheless,,,missing
word_phương án,phương án,the rundown of a course of action,,,missing
word_xoá,xoá,to efface; to rub out; to erase; to delete,,,missing
word_ra lệnh,ra lệnh,to issue a command,,,missing
word_tham khảo,tham khảo,to consult; to reference; to refer to,,,missing
word_lãi suất,lãi suất,an interest rate,,,missing
word_bắt cóc,bắt cóc,to kidnap; to abduct,,,missing
word_ca khúc,ca khúc,song,,,missing
word_Trung,Trung,a male given name from Chinese; Sino-,,,missing
word_điên rồ,điên rồ,crazy / insane,,,missing
word_công đoàn,công đoàn,"labor union, trade union",,,missing
word_chỉ số,chỉ số,an index,,,missing
word_chứng khoán,chứng khoán,security (financial instrument),,,missing
word_mặt hàng,mặt hàng,commodities of commerce; product; item,,,missing
word_nội thất,nội thất,furniture,,,missing
word_loại bỏ,loại bỏ,to reject; to discard (generally speaking),,,missing
word_bố trí,bố trí,to arrange (things or manpower) in proper places,,,missing
word_giờ đây,giờ đây,"now, at present",,,missing
word_khuyến khích,khuyến khích,to encourage,,,missing
word_khởi động,khởi động,"to boot, to start up; to warm up",,,missing
word_cao đẳng,cao đẳng,related to junior college/community college,,,missing
word_đại uý,đại uý,captain; lieutenant,,,missing
word_Hoàng,Hoàng,a surname from Chinese,,,missing
word_biên giới,biên giới,border,,,missing
word_rủi ro,rủi ro,risky; hazardous; unfortunate; risk,,,missing
word_vết thương,vết thương,wound; site of injury; cut,,,missing
word_mất tích,mất tích,to go missing; to disappear,,,missing
word_hy sinh,hy sinh,Alternative spelling of hi sinh,,,missing
word_kế toán,kế toán,accounting,,,missing
word_phó chủ tịch,phó chủ tịch,vice-chairman,,,missing
word_Phật,Phật,Buddha,,,missing
word_tiềm năng,tiềm năng,potential,,,missing
word_đam mê,đam mê,to be passionate about; obsessed with,,,missing
word_chất liệu,chất liệu,material; matter; component,,,missing
word_chịu đựng,chịu đựng,to endure; to bear; to withstand; forbearing,,,missing
word_thiệt hại,thiệt hại,to suffer a damage or loss; damage,,,missing
word_thắc mắc,thắc mắc,to wonder (about something); question,,,missing
word_đánh bại,đánh bại,to defeat,,,missing
word_biểu tượng,biểu tượng,symbol,,,missing
word_triển lãm,triển lãm,to put on exhibit; to display; exhibition,,,missing
word_lắng nghe,lắng nghe,to listen attentively; to be all ears,,,missing
word_thiết lập,thiết lập,"to set up, to form, to establish",,,missing
word_cực kỳ,cực kỳ,alternative spelling of cực kì,,,missing
word_so sánh,so sánh,to compare; simile,,,missing
word_giảng dạy,giảng dạy,to teach; to instruct; to lecture; to preach,,,missing
word_địa ngục,địa ngục,hell (abode for the condemned),,,missing
word_thư viện,thư viện,library (institution which holds books etc.),,,missing
word_cầu nguyện,cầu nguyện,to pray (a spiritual act to communicate with the divine),,,missing
word_ý định,ý định,intention,,,missing
word_chủ nghĩa,chủ nghĩa,an ideology; doctrine; system of thought,,,missing
word_tư tưởng,tư tưởng,thought; ideology,,,missing
word_nhấn mạnh,nhấn mạnh,to stress; to emphasise,,,missing
word_phân biệt,phân biệt,to distinguish; to discriminate; to discern,,,missing
word_thử thách,thử thách,to challenge; to try; to put to the test,,,missing
word_một ít,một ít,a little bit,,,missing
word_xấu hổ,xấu hổ,to be ashamed; to be embarrassed,,,missing
word_quy trình,quy trình,process / procedure,,,missing
word_khẩn cấp,khẩn cấp,urgent; pressing; emergent,,,missing
word_nâng cấp,nâng cấp,to upgrade; to improve,,,missing
word_phong phú,phong phú,abundant; rich; plentiful,,,missing
word_hạt nhân,hạt nhân,nuclear; a nucleus,,,missing
word_hầu như,hầu như,"almost, nearly",,,missing
word_ông già,ông già,old man; elderly man; old man (father),,,missing
word_phụ huynh,phụ huynh,parent (of a pupil),,,missing
word_dự báo,dự báo,"to forecast, to predict",,,missing
word_thách thức,thách thức,to challenge; to defy; challenge,,,missing
word_con cái,con cái,children; offspring (generally speaking),,,missing
word_đa số,đa số,majority,,,missing
word_phục hồi,phục hồi,to restore; to recover,,,missing
word_giao tiếp,giao tiếp,to communicate; to associate with,,,missing
word_khảo sát,khảo sát,to investigate; to survey; to examine,,,missing
word_toà án,toà án,court (tribunal),,,missing
word_đẩy mạnh,đẩy mạnh,to push forward; to promote; to advance,,,missing
word_tuyệt đối,tuyệt đối,absolute,,,missing
word_vậy mà,vậy mà,but; however; yet; still,,,missing
word_trật tự,trật tự,orderly; order (good arrangement),,,missing
word_biểu hiện,biểu hiện,to express; to manifest; expression,,,missing
word_hiện trường,hiện trường,a scene (where something happened),,,missing
word_bền vững,bền vững,strong; firm; unshakeable; sustainable,,,missing
word_nữ hoàng,nữ hoàng,a queen regnant or an empress regnant,,,missing
word_khoảng cách,khoảng cách,"distance, space",,,missing
word_Tây Ban Nha,Tây Ban Nha,Spanish,,,missing
word_quyết tâm,quyết tâm,to be determined (to),,,missing
word_công dân,công dân,a citizen,,,missing
word_kết luận,kết luận,to conclude; conclusion,,,missing
word_thái độ,thái độ,to have a bad attitude towards; attitude,,,missing
word_quê hương,quê hương,hometown; birthplace; homeland; motherland,,,missing
word_tương đương,tương đương,which is equivalent to the fact that,,,missing
word_định hướng,định hướng,to determine the direction; to set course,,,missing
word_vớ vẩn,vớ vẩn,ridiculous; stupid; nonsensical,,,missing
word_diễn đàn,diễn đàn,forum,,,missing
word_trung học,trung học,secondary education,,,missing
word_tài nguyên,tài nguyên,resources,,,missing
word_thi công,thi công,to construct or repair a building or infrastructure facility,,,missing
word_tài trợ,tài trợ,"to sponsor, fund or finance (a partner, program, venture o…",,,missing
word_nhận định,nhận định,"to judge (to form an opinion, infer or suppose something)",,,missing
word_trước hết,trước hết,firstly; first of all,,,missing
word_đặc trưng,đặc trưng,"characteristic, feature",,,missing
word_sơ cứu,sơ cứu,first aid,,,missing
word_cân bằng,cân bằng,to balance; balanced; equal; balance,,,missing
word_chỉ tiêu,chỉ tiêu,target; quota,,,missing
